EmpID,Age,Gender,Unit,Role,CertificationLevel,YearsExperience,ShiftPattern,WeeklyPatientLoad,OvertimeHoursPerWeek,AnnualSalary,HasDependents,CommuteMinutes,ManagerSupportScore,PeerSupportScore,BurnoutIndex
72,48,Non-Binary,Emergency,ER Physician,Specialist,20,Day,30,5,82142,No,6,5,4,4.0
73,66,Male,Outpatient,Physician,Advanced,38,Rotating 12h,22,5,148144,No,42,3,1,6.2
74,32,Female,Surgery,Surgical Technician,Advanced,1,Night,9,10,56083,Yes,71,3,5,6.8
75,53,Female,Emergency,ER Technician,Intermediate,14,Swing,22,0,76027,No,34,3,2,6.4
76,31,Female,General Ward,Ward Clerk,Entry,5,Night,23,15,121900,No,44,2,2,7.4
77,55,Male,ICU,Intensivist,Specialist,14,Swing,9,30,332114,Yes,29,5,1,8.3
78,58,Non-Binary,Emergency,Triage Nurse,Intermediate,8,Day,19,0,80644,Yes,35,4,1,5.3
79,56,Male,Emergency,ER Technician,Specialist,30,Day,19,0,39952,No,22,1,4,6.1
80,59,Non-Binary,Lab & Diagnostics,Pathologist,Advanced,31,Rotating 12h,74,5,186568,No,29,4,4,6.7
81,54,Female,General Ward,Nurse Practitioner,Specialist,1,Swing,22,5,55532,No,28,2,5,5.8
82,59,Male,Outpatient,Physician,Specialist,5,Day,28,5,110488,Yes,62,3,2,5.0
83,29,Non-Binary,Pharmacy,Pharmacy Technician,Intermediate,0,Night,40,15,133348,No,41,1,1,8.1
84,64,Male,Outpatient,Physician,Entry,14,Rotating 12h,48,5,95934,No,62,1,4,6.6
85,56,Female,Emergency,ER Physician,Entry,22,Swing,25,15,130270,No,41,5,4,5.0
86,23,Male,General Ward,Ward Clerk,Intermediate,1,Night,23,5,169864,Yes,66,2,4,5.8
87,66,Male,Facilities,Maintenance Technician,Specialist,29,Night,0,20,56816,Yes,20,5,3,8.1
88,46,Male,ICU,Respiratory Therapist,Specialist,6,Swing,42,0,105911,No,31,3,5,6.3
89,48,Non-Binary,ICU,Intensivist,Advanced,7,Swing,24,0,205127,Yes,7,3,3,6.1
90,26,Female,Outpatient,Physician,Specialist,4,Night,73,10,76322,No,45,4,4,8.2
91,51,Male,Lab & Diagnostics,Lab Technician,Entry,3,Rotating 12h,80,30,139021,No,9,2,4,7.8
92,50,Non-Binary,Emergency,ER Physician,Specialist,12,Swing,39,15,135465,No,71,1,2,8.7
93,36,Non-Binary,ICU,Intensivist,Intermediate,6,Rotating 12h,34,20,294077,No,20,2,1,10.0
94,25,Male,Outpatient,Scheduler,Specialist,2,Swing,18,5,75682,Yes,20,1,3,5.7
95,51,Non-Binary,Outpatient,Medical Assistant,Specialist,21,Day,39,5,69690,Yes,39,4,4,5.5
96,57,Female,Emergency,Triage Nurse,Intermediate,24,Night,32,5,60361,Yes,34,3,1,7.9
97,23,Female,Lab & Diagnostics,Radiologist,Specialist,0,Day,18,5,277520,No,74,3,2,5.3
98,51,Male,Facilities,Safety Officer,Entry,13,Day,0,10,41215,No,66,2,5,4.8
99,23,Female,Emergency,Paramedic,Specialist,1,Rotating 12h,34,5,169061,Yes,73,4,4,5.3
100,50,Female,Lab & Diagnostics,Phlebotomist,Entry,12,Day,39,10,42485,No,29,3,2,5.7
101,45,Female,Emergency,Triage Nurse,Specialist,15,Day,19,0,68616,Yes,47,2,3,6.0
102,43,Male,Facilities,Safety Officer,Specialist,9,Rotating 12h,0,5,30343,No,75,4,1,5.8
103,24,Male,Facilities,Facilities Manager,Entry,0,Swing,0,0,42841,No,14,1,1,4.3
104,50,Non-Binary,ICU,Intensivist,Advanced,17,Day,10,10,159816,No,29,5,3,5.9
105,40,Male,Surgery,Surgical Technician,Specialist,12,Day,31,5,75603,Yes,74,2,5,6.8
106,34,Non-Binary,General Ward,Nurse Practitioner,Advanced,5,Rotating 12h,16,10,61504,Yes,64,5,4,5.7
107,48,Female,Administration,Medical Records Clerk,Specialist,16,Rotating 12h,0,5,80999,No,54,5,5,5.8
108,46,Male,ICU,ICU Nurse,Specialist,6,Swing,41,30,176831,No,39,5,1,6.7
109,41,Non-Binary,Outpatient,Nurse Practitioner,Intermediate,3,Day,35,5,45237,Yes,46,5,3,5.5
110,30,Non-Binary,General Ward,CNA,Intermediate,6,Night,36,0,173266,No,7,4,4,4.2
111,32,Female,General Ward,Ward Clerk,Entry,6,Day,14,20,117435,Yes,53,5,5,5.2
112,47,Male,Administration,Office Manager,Advanced,22,Swing,0,15,40371,No,32,1,1,5.9
113,26,Male,Emergency,ER Nurse,Intermediate,3,Swing,14,10,175581,No,36,2,3,7.2
114,59,Female,ICU,ICU Technician,Specialist,11,Night,16,0,144559,Yes,59,4,2,5.3
115,54,Male,General Ward,Nurse Practitioner,Entry,5,Night,17,0,34436,Yes,65,1,4,6.4
116,51,Non-Binary,Emergency,ER Physician,Specialist,21,Night,23,0,61505,Yes,30,5,1,6.9
117,27,Male,Facilities,Safety Officer,Intermediate,5,Swing,0,10,55325,No,61,2,3,5.2
118,65,Non-Binary,Surgery,Surgical Nurse,Entry,14,Rotating 12h,9,0,94447,No,55,3,3,6.6
119,36,Male,Emergency,ER Nurse,Intermediate,9,Swing,43,15,81559,No,51,1,5,7.1
120,43,Female,Outpatient,Scheduler,Entry,19,Day,46,5,47004,Yes,30,3,4,5.5
121,29,Non-Binary,ICU,Intensivist,Intermediate,7,Swing,38,0,277142,No,9,4,5,6.2
122,46,Non-Binary,Surgery,Surgical Technician,Specialist,17,Rotating 12h,11,20,86565,No,21,1,5,8.3
123,68,Female,General Ward,Nurse Practitioner,Advanced,31,Swing,23,15,67070,Yes,47,4,4,5.5
124,44,Non-Binary,General Ward,Charge Nurse,Intermediate,5,Day,31,15,42051,No,20,1,1,8.7
125,23,Male,ICU,ICU Nurse,Entry,0,Swing,8,15,178187,Yes,55,3,4,5.7
126,58,Non-Binary,Lab & Diagnostics,Phlebotomist,Entry,15,Swing,48,20,128790,Yes,35,5,4,6.6
127,61,Non-Binary,Outpatient,Scheduler,Advanced,31,Swing,69,10,55492,No,59,3,4,6.0
128,64,Male,Outpatient,Scheduler,Entry,34,Rotating 12h,53,0,161458,Yes,50,2,5,8.8
129,64,Male,ICU,ICU Nurse,Entry,9,Swing,17,15,35036,Yes,42,2,4,7.3
130,64,Non-Binary,Surgery,Surgical Technician,Advanced,0,Rotating 12h,40,15,41693,Yes,54,1,2,7.7
131,65,Male,Lab & Diagnostics,MRI Technician,Intermediate,40,Day,70,5,134845,No,70,4,3,7.0
132,41,Male,Facilities,Safety Officer,Entry,9,Rotating 12h,0,10,45089,No,43,5,3,4.9
133,63,Male,Surgery,Anesthesiologist,Intermediate,19,Day,31,5,181887,Yes,74,2,1,7.6
134,24,Male,Administration,Billing Specialist,Advanced,1,Day,0,0,42106,Yes,67,2,4,4.9
135,25,Male,General Ward,CNA,Entry,3,Swing,10,10,120215,No,42,3,1,5.2
136,61,Female,Facilities,Environmental Services,Entry,16,Night,0,5,57678,No,41,5,4,4.8
137,61,Male,ICU,Respiratory Therapist,Specialist,6,Night,21,10,124194,Yes,33,3,3,7.4
138,47,Non-Binary,General Ward,Registered Nurse,Specialist,18,Swing,32,5,122315,Yes,28,3,4,5.9
139,34,Female,General Ward,Registered Nurse,Specialist,1,Swing,25,5,81185,No,24,1,2,6.3
140,67,Female,Emergency,Paramedic,Specialist,37,Swing,25,15,80026,Yes,44,3,3,6.8
141,61,Female,ICU,ICU Nurse,Intermediate,18,Night,20,15,136197,Yes,60,1,1,8.2
142,58,Male,General Ward,Registered Nurse,Advanced,16,Swing,29,0,134927,Yes,63,4,3,4.4
143,23,Male,Facilities,Safety Officer,Advanced,1,Night,0,5,49593,Yes,22,4,4,5.1
144,39,Female,Emergency,Triage Nurse,Specialist,10,Night,16,20,56185,Yes,64,3,5,7.5
145,28,Non-Binary,Administration,HR Coordinator,Advanced,4,Day,0,20,52303,Yes,12,4,5,4.5
146,23,Male,General Ward,Nurse Practitioner,Intermediate,1,Rotating 12h,23,20,134499,Yes,62,4,2,8.7
147,57,Non-Binary,Administration,HR Coordinator,Intermediate,11,Rotating 12h,0,15,36286,No,74,4,2,6.4
148,48,Male,Facilities,Maintenance Technician,Entry,16,Night,0,0,37075,Yes,22,4,4,4.5
149,60,Male,Administration,HR Coordinator,Specialist,16,Night,0,10,79619,Yes,39,2,4,6.6
150,62,Non-Binary,Lab & Diagnostics,MRI Technician,Specialist,23,Night,28,5,110057,No,38,5,5,5.9
151,33,Male,Outpatient,Medical Assistant,Specialist,8,Swing,59,10,174342,Yes,23,2,5,6.1
152,29,Male,Emergency,ER Technician,Intermediate,4,Day,21,10,99334,No,63,3,5,6.5
153,43,Female,ICU,Respiratory Therapist,Specialist,8,Day,42,10,159954,Yes,31,5,2,6.7
154,67,Non-Binary,Lab & Diagnostics,Pathologist,Advanced,25,Swing,72,20,344178,Yes,36,3,4,7.2
155,22,Male,Emergency,Triage Nurse,Specialist,0,Rotating 12h,39,5,159329,No,28,5,5,5.7
156,49,Non-Binary,Administration,Medical Records Clerk,Specialist,25,Night,0,15,44270,Yes,49,3,4,5.5
157,65,Male,Surgery,Surgical Technician,Advanced,28,Night,14,20,63633,No,24,4,3,7.8
158,27,Non-Binary,Emergency,ER Nurse,Entry,2,Night,14,0,139684,No,24,1,1,7.0
159,36,Female,Administration,Billing Specialist,Specialist,0,Day,0,0,65857,Yes,71,1,1,4.7
160,65,Male,General Ward,Nurse Practitioner,Entry,16,Swing,26,5,126227,Yes,56,3,4,4.8
161,45,Non-Binary,Lab & Diagnostics,MRI Technician,Specialist,21,Night,27,0,155851,No,21,2,5,6.7
162,26,Non-Binary,ICU,ICU Technician,Specialist,3,Night,16,5,110022,No,55,4,4,6.2
163,51,Non-Binary,Facilities,Safety Officer,Specialist,25,Rotating 12h,0,5,36260,No,8,4,1,5.7
164,66,Non-Binary,General Ward,CNA,Specialist,9,Day,30,0,77647,No,63,1,5,5.8
165,62,Non-Binary,General Ward,Registered Nurse,Entry,18,Night,37,20,47771,No,71,2,4,8.3
166,32,Female,General Ward,Nurse Practitioner,Entry,1,Rotating 12h,40,5,140194,No,43,5,1,7.4
167,54,Male,Surgery,Surgical Technician,Intermediate,17,Night,35,5,87534,Yes,35,3,3,8.1
168,53,Male,General Ward,Ward Clerk,Advanced,7,Swing,15,5,153625,Yes,70,1,2,6.1
169,40,Non-Binary,Lab & Diagnostics,MRI Technician,Specialist,13,Day,69,0,158847,No,40,1,5,7.0
170,31,Female,Outpatient,Physician,Intermediate,9,Night,69,0,70049,Yes,26,5,4,5.5
171,58,Non-Binary,General Ward,Registered Nurse,Specialist,27,Rotating 12h,23,10,133535,Yes,60,3,2,6.1
172,52,Male,Pharmacy,Pharmacist,Intermediate,9,Day,53,5,174741,No,45,1,3,7.6
173,24,Male,Surgery,Surgical Technician,Specialist,0,Swing,35,5,61320,Yes,74,5,5,4.2
174,40,Non-Binary,Administration,Office Manager,Intermediate,16,Day,0,5,37555,Yes,62,3,3,4.4
175,23,Non-Binary,Surgery,Anesthesiologist,Advanced,0,Night,39,15,221846,Yes,67,4,3,7.2
176,27,Male,Pharmacy,Pharmacist,Specialist,4,Night,47,5,153454,No,66,5,4,4.7
177,23,Male,ICU,ICU Technician,Advanced,1,Day,34,10,45857,Yes,64,1,2,7.9
178,49,Non-Binary,Outpatient,Physician,Intermediate,18,Swing,57,5,174568,No,43,2,4,5.7
179,50,Female,Lab & Diagnostics,MRI Technician,Entry,20,Night,19,20,106016,Yes,26,2,4,9.2
180,22,Male,General Ward,CNA,Entry,0,Rotating 12h,9,5,54452,No,72,4,3,5.8
181,57,Non-Binary,ICU,Respiratory Therapist,Specialist,6,Day,11,15,136827,No,59,4,4,5.1
182,56,Non-Binary,Lab & Diagnostics,Radiologist,Intermediate,2,Day,69,10,279510,Yes,59,5,1,5.8
183,58,Female,General Ward,Registered Nurse,Entry,6,Rotating 12h,20,5,60867,Yes,58,5,1,4.3
184,64,Female,Surgery,Surgical Technician,Advanced,2,Day,21,5,165325,Yes,67,1,2,5.8
185,22,Non-Binary,Facilities,Safety Officer,Entry,0,Rotating 12h,0,5,51379,Yes,38,2,2,6.2
186,32,Male,Surgery,OR Coordinator,Entry,10,Night,19,15,77367,Yes,5,2,3,7.7
187,37,Male,ICU,ICU Nurse,Specialist,4,Night,39,20,35844,No,38,3,4,8.8
188,62,Female,Lab & Diagnostics,Pathologist,Specialist,35,Day,77,10,275957,No,31,2,3,7.5
189,26,Female,Surgery,Surgeon,Intermediate,0,Day,20,5,171891,Yes,66,3,1,4.9
190,68,Male,Emergency,ER Nurse,Specialist,23,Day,15,15,93947,No,41,3,4,7.0
191,64,Non-Binary,Emergency,Paramedic,Intermediate,8,Rotating 12h,8,20,147472,Yes,21,4,5,7.4
192,23,Non-Binary,ICU,ICU Nurse,Entry,1,Swing,13,15,32967,Yes,38,1,5,7.4
193,39,Non-Binary,Facilities,Facilities Manager,Specialist,11,Day,0,20,36910,Yes,33,2,5,5.2
194,35,Male,Surgery,Surgical Nurse,Intermediate,2,Day,23,20,41777,Yes,42,2,5,6.2
195,43,Non-Binary,Administration,HR Coordinator,Intermediate,16,Rotating 12h,0,0,46127,No,50,2,1,5.5
196,49,Non-Binary,Facilities,Maintenance Technician,Intermediate,22,Night,0,5,38705,No,41,3,2,6.4
197,48,Female,General Ward,Charge Nurse,Specialist,7,Day,10,15,132126,Yes,46,2,4,6.1
198,36,Male,General Ward,Registered Nurse,Intermediate,9,Day,25,5,34059,No,51,4,5,3.7
199,28,Male,Lab & Diagnostics,Lab Technician,Intermediate,1,Rotating 12h,54,5,128451,Yes,64,1,5,8.5
200,54,Non-Binary,Lab & Diagnostics,MRI Technician,Entry,23,Rotating 12h,43,15,79985,No,24,1,2,8.1
201,45,Non-Binary,ICU,ICU Nurse,Specialist,11,Rotating 12h,24,0,40274,Yes,20,5,4,5.2
202,32,Non-Binary,General Ward,CNA,Entry,3,Swing,24,15,67441,Yes,57,5,5,4.2
203,31,Male,ICU,ICU Technician,Specialist,2,Swing,26,30,80138,No,51,4,1,7.0
204,27,Male,ICU,Respiratory Therapist,Advanced,3,Night,37,5,176038,Yes,64,1,3,7.6
205,25,Non-Binary,ICU,ICU Technician,Specialist,3,Swing,26,5,32709,No,44,1,5,5.4
206,23,Non-Binary,General Ward,Registered Nurse,Entry,1,Day,14,30,144446,Yes,23,2,2,8.3
207,25,Female,Outpatient,Physician,Advanced,0,Swing,53,15,133554,No,38,1,1,6.9
208,49,Male,Facilities,Maintenance Technician,Intermediate,24,Day,0,15,35937,Yes,65,2,5,6.1
209,48,Female,Lab & Diagnostics,MRI Technician,Specialist,15,Swing,70,15,139988,No,55,2,4,7.7
210,55,Non-Binary,Facilities,Maintenance Technician,Advanced,30,Night,0,0,59416,No,7,4,2,4.9
211,68,Non-Binary,General Ward,Charge Nurse,Entry,13,Night,32,5,93431,No,33,4,3,6.7
212,31,Male,Lab & Diagnostics,MRI Technician,Advanced,0,Rotating 12h,54,0,139128,No,16,2,2,8.1
213,40,Male,Administration,Admin Assistant,Intermediate,2,Swing,0,10,58035,No,37,3,1,4.9
214,55,Non-Binary,ICU,ICU Nurse,Advanced,24,Night,10,0,50138,No,14,3,5,5.9
215,40,Male,Surgery,OR Coordinator,Intermediate,4,Night,30,0,148004,Yes,62,4,1,4.9
216,28,Male,Surgery,OR Coordinator,Intermediate,3,Day,23,0,113915,Yes,41,1,4,6.4
217,65,Male,Administration,Admin Assistant,Entry,6,Rotating 12h,0,0,58929,No,55,1,5,4.7
218,23,Male,Outpatient,Scheduler,Advanced,0,Rotating 12h,19,30,83457,No,26,1,1,9.6
219,48,Male,General Ward,Ward Clerk,Specialist,23,Night,30,5,55717,Yes,59,5,5,5.8
220,46,Female,Surgery,Anesthesiologist,Specialist,18,Rotating 12h,8,5,285742,No,67,3,5,6.3
221,66,Female,Facilities,Maintenance Technician,Intermediate,12,Rotating 12h,0,5,55240,Yes,34,2,1,5.6
222,42,Male,Administration,Medical Records Clerk,Intermediate,9,Rotating 12h,0,20,53291,No,16,1,2,6.3
223,67,Female,Facilities,Safety Officer,Specialist,0,Night,0,0,44387,No,37,3,1,5.5
224,67,Male,General Ward,Charge Nurse,Specialist,5,Swing,8,5,72241,Yes,49,3,2,5.1
225,39,Non-Binary,ICU,ICU Technician,Specialist,1,Swing,14,5,112535,No,14,2,5,6.2
226,43,Non-Binary,Surgery,Anesthesiologist,Specialist,4,Rotating 12h,22,10,214310,Yes,54,1,4,7.6
227,22,Female,Administration,Admin Assistant,Entry,0,Night,0,30,55650,No,8,4,4,5.8
228,37,Female,Outpatient,Nurse Practitioner,Entry,7,Night,28,0,79640,Yes,19,3,5,5.2
229,58,Male,Outpatient,Physician,Intermediate,32,Swing,74,20,168553,Yes,54,3,4,8.1
230,55,Female,Surgery,Surgical Nurse,Intermediate,9,Night,21,5,79896,Yes,63,3,3,6.9
231,61,Female,Administration,Medical Records Clerk,Entry,8,Swing,0,20,70626,No,24,1,4,6.3
232,56,Female,Facilities,Facilities Manager,Entry,32,Rotating 12h,0,0,57971,No,69,2,5,6.3
233,46,Male,General Ward,Ward Clerk,Intermediate,11,Rotating 12h,27,10,137042,Yes,60,1,5,7.3
234,63,Non-Binary,Lab & Diagnostics,Phlebotomist,Entry,3,Swing,41,5,55150,Yes,13,3,1,5.3
235,41,Male,Surgery,Surgical Nurse,Advanced,17,Swing,43,5,80221,No,13,3,1,6.9
236,46,Female,Pharmacy,Pharmacy Technician,Intermediate,0,Day,40,10,126098,Yes,54,5,3,6.2
237,59,Non-Binary,Administration,Billing Specialist,Entry,12,Rotating 12h,0,15,84796,No,7,3,1,6.3
238,54,Non-Binary,Lab & Diagnostics,MRI Technician,Intermediate,5,Swing,45,20,105251,No,51,4,3,7.8
239,57,Female,Emergency,ER Nurse,Intermediate,25,Swing,17,0,163397,Yes,60,2,5,5.4
240,24,Male,Surgery,OR Coordinator,Advanced,0,Night,19,0,152989,No,41,1,3,7.0
241,61,Female,Surgery,Anesthesiologist,Specialist,20,Swing,28,20,305713,No,39,2,4,6.9
242,61,Female,Lab & Diagnostics,MRI Technician,Advanced,7,Swing,45,15,89075,No,45,4,5,5.6
243,57,Non-Binary,Administration,HR Coordinator,Specialist,32,Night,0,5,60484,Yes,17,3,2,5.4
244,29,Male,Lab & Diagnostics,Lab Technician,Entry,4,Swing,78,0,125681,Yes,74,3,3,4.8
245,55,Female,ICU,Respiratory Therapist,Specialist,29,Night,28,30,84182,Yes,7,2,2,9.6
246,62,Non-Binary,Emergency,Paramedic,Entry,14,Night,24,5,57146,No,74,3,1,6.1
247,26,Non-Binary,Surgery,Surgical Technician,Advanced,4,Rotating 12h,30,0,50598,Yes,41,4,3,5.1
248,23,Female,Surgery,Surgical Nurse,Intermediate,1,Day,30,20,114968,Yes,15,4,4,5.7
249,22,Non-Binary,General Ward,Registered Nurse,Advanced,0,Night,16,0,43583,No,68,3,5,5.7
250,34,Male,Outpatient,Medical Assistant,Entry,9,Night,67,10,112792,No,7,4,1,7.0
251,57,Male,General Ward,Ward Clerk,Intermediate,15,Day,14,10,117273,Yes,22,1,5,5.5
252,39,Non-Binary,Administration,Medical Records Clerk,Specialist,11,Day,0,5,40398,Yes,36,3,1,4.4
253,36,Female,General Ward,CNA,Intermediate,1,Swing,10,10,151387,Yes,36,5,1,5.9
254,39,Non-Binary,Surgery,OR Coordinator,Intermediate,17,Day,34,10,46361,No,21,4,5,5.6
255,23,Male,Surgery,Surgical Nurse,Intermediate,0,Day,34,0,69353,Yes,70,3,3,6.4
256,54,Female,Surgery,Surgical Technician,Intermediate,20,Rotating 12h,28,0,90570,No,15,1,2,6.5
257,65,Female,Lab & Diagnostics,Lab Technician,Entry,8,Swing,55,0,95503,No,27,5,3,5.8
258,53,Female,Outpatient,Nurse Practitioner,Intermediate,1,Rotating 12h,17,5,108444,Yes,14,3,3,5.8
259,47,Female,Emergency,ER Physician,Advanced,18,Day,45,5,159136,No,19,5,1,5.9
260,60,Non-Binary,General Ward,Nurse Practitioner,Specialist,9,Swing,11,5,144078,Yes,72,4,1,4.2
